조합 이름,편의점,주요 상품,보조 상품(들),키워드 / 상황,카테고리,원문 URL (출처)
환상의 단짠,CU,단짠 감자칩,"탄산 음료, 아이스크림, 초콜릿","스트레스, 단짠, 즐거움, 중독, 간식, 후회, 행복, 유혹",간식,[AI 증강]
퇴근 후 소소한 행복,GS25,와인,"치즈, 크래커, 올리브","퇴근, 밤, 혼술, 여유, 행복, 위로, 힐링, 편안",술안주/야식,[AI 증강]
상큼함 한가득,세븐일레븐,과일 주스,"샐러드, 요거트, 견과류","아침, 건강, 상큼, 활력, 다이어트, 가벼움, 시작, 에너지",음료/간식,[AI 증강]
나른한 오후,공통,믹스 커피,"비스킷, 사탕, 초콜릿","오후, 나른함, 졸림, 달콤, 각성, 에너지, 위로, 휴식",음료/간식,[AI 증강]
혼자 떠나는 겨울바다,CU,컵라면 (해물),"따뜻한 커피, 호빵, 핫팩","겨울, 바다, 혼자, 낭만, 여유, 따뜻, 추억, 힐링",라면/분식 조합,[AI 증강]
새로운 맛의 발견,GS25,바밤바,에스프레소 샷,"괴식, 도전, 커피, 달콤, 쌉쌀, 궁금, 새로운 맛, 탐험",음료/간식,[AI 증강]
공복에 괴로울 때,세븐일레븐,에너지바,"견과류, 우유, 바나나","배고픔, 공복, 간편, 든든, 건강, 활력, 에너지, 만족",간식,[AI 증강]
봄날의 핑크빛,공통,딸기 우유,"딸기맛 과자, 벚꽃 팝콘, 핑크 레모네이드","봄, 벚꽃, 핑크, 사랑, 설렘, 행복, 달콤, 낭만",음료/간식,[AI 증강]
우울한 날의 작은 행복,CU,초코 케이크,"따뜻한 우유, 아이스크림, 초콜릿","우울, 위로, 달콤, 행복, 휴식, 편안, 밤, 극복",간식,[AI 증강]
든든한 한 끼 식사,GS25,도시락 (김치볶음밥),"계란 후라이, 김, 김치","점심, 저녁, 혼밥, 간편, 든든, 만족, 활력, 에너지",간편식사,[AI 증강]
오늘 하루 수고했어,세븐일레븐,따뜻한 사케,"꼬치, 어묵, 단무지","퇴근, 위로, 밤, 혼술, 따뜻, 여유, 편안, 행복",술안주/야식,[AI 증강]
나만의 작은 영화관,공통,팝콘,"콜라, 나쵸, 핫도그","영화, 주말, 집콕, 즐거움, 편안, 휴식, 기대, 설렘",간식,[AI 증강]
상큼한 기분 전환,CU,레몬 에이드,"탄산수, 젤리, 사탕","기분 전환, 상큼, 활력, 졸림, 리프레쉬, 에너지, 즐거움, 만족",음료/간식,[AI 증강]
매콤한 저녁,GS25,떡볶이,"튀김, 김밥, 쿨피스","저녁, 매콤, 든든, 만족, 즐거움, 스트레스 해소, 식욕, 자극",라면/분식 조합,[AI 증강]
힐링 푸드,세븐일레븐,죽,"장조림, 김치, 물","아플 때, 위로, 편안, 따뜻, 휴식, 힐링, 건강, 회복",간편식사,[AI 증강]
월급날 FLEX 세트,GS25,수입 맥주 (4캔),"육포, 나쵸, 수입 과자","월급날, 스트레스 해소, 퇴근 후, 혼술, 넷플릭스, 소소한 행복, 통장 잔고 확인, 자축",술안주/야식,[AI 증강]
비 오는 날 파전 세트,CU,부침가루,"막걸리, 김치, 계란","비 오는 날, 집콕, 파전, 막걸리, 꿀꿀한 날씨, 따뜻함, 빗소리, 힐링",간편조리,[AI 증강]
시험기간 벼락치기 세트,세븐일레븐,에너지 드링크,"커피, 초콜릿, 견과류, 핫식스","시험기간, 벼락치기, 밤샘, 졸음, 집중력 향상, 카페인 충전, 정신 번쩍, 불안",음료/간식,[AI 증강]
혼자 캠핑 분위기 세트,공통,숯불 닭꼬치,"캔맥주, 마시멜로우, 나무젓가락, 종이컵","캠핑, 혼자, 분위기, 불멍, 밤, 별, 고독, 낭만",술안주/야식,[AI 증강]
숙취 해소 끝판왕 세트,GS25,헛개차,"해장라면, 스포츠 음료, 아이스크림, 삶은 계란","숙취, 다음 날, 괴로움, 속 쓰림, 갈증, 회식, 어제 기억 삭제, 후회",음료/라면,[AI 증강]
매운맛 마니아 도전 세트,CU,핵불닭볶음면,"쿨피스, 삼각김밥 (참치마요), 치즈","매운맛, 도전, 극한, 땀, 스트레스 해소, 챌린지, 고통, 성취감",라면/분식,[AI 증강]
달콤한 눈 오는 날 세트,세븐일레븐,핫초코,"미니 붕어빵, 호빵, 고구마 말랭이","눈 오는 날, 따뜻함, 달콤함, 겨울, 포근함, 낭만, 설렘, 첫눈",음료/간식,[AI 증강]
다이어트 실패 자축 세트,공통,치킨 (조각),"콜라, 감자튀김, 햄버거","다이어트 실패, 자포자기, 폭식, 후회, 죄책감, 행복, 꿀맛, 망했어",즉석조리,[AI 증강]
퇴근 후 힐링 세트,GS25,아이스 아메리카노,"마카롱, 스콘, 조각 케이크","퇴근 후, 힐링, 여유, 혼자, 카페, 달콤함, 위로, 충전",음료/디저트,[AI 증강]
입맛 없을 때 세트,CU,새콤달콤 비빔면,"만두, 열무김치, 참치캔","입맛 없음, 더위, 상큼함, 매콤함, 점심, 간편함, 활력, 식욕 자극",라면/분식,[AI 증강]
솔로 크리스마스 극복 세트,세븐일레븐,케이크 (미니),"와인 (미니), 닭강정, 영화 티켓 (온라인)","크리스마스, 솔로, 외로움, 극복, 영화, 자기 위로, 괜찮아, 내년엔",간편식/주류,[AI 증강]
우울한 날 눈물콧물 세트,공통,매운 떡볶이,"초코 아이스크림, 바나나 우유, 핫도그","우울, 눈물, 위로, 달콤함, 매콤함, 스트레스, 풀자, 괜찮아질거야",분식/디저트,[AI 증강]
게임 폐인 야식 세트,GS25,팝콘,"콜라, 닭다리, 오징어땅콩","게임, 밤샘, 야식, 폐인, 멈출 수 없어, 승리, 짜릿함, 새벽",간식/음료,[AI 증강]
장마철 집순이 세트,CU,컵라면 (큰사발),"김치, 햇반, 계란","장마, 집순이, 무료함, 따뜻함, 든든함, 빗소리, 아늑함, 방콕",간편식,[AI 증강]
등산 후 꿀맛 세트,세븐일레븐,막걸리,"두부김치, 김밥, 삶은 계란","등산, 하산, 꿀맛, 시원함, 갈증, 보상, 건강, 뿌듯함",주류/안주,[AI 증강]
불면증 퇴치 세트 (괴식),공통,우유,"꿀, 바나나, 시리얼 (단맛)","불면증, 잠 안 옴, 괴식, 따뜻함, 달콤함, 억지로라도, 제발 잠들자, 내일 걱정",음료/간식,[AI 증강]
미세먼지 심한 날 세트,GS25,생수,"배즙, 도라지청, 마스크, 비타민","미세먼지, 목 아픔, 건강, 보호, 답답함, 청량함, 기관지, 공기청정기",건강,[AI 증강]
새해 다짐 실패 세트,CU,라면 (신라면),"삼각김밥, 탄산음료, 과자","새해, 다짐 실패, 작심삼일, 에라 모르겠다, 자포자기, 꿀맛, 후회는 내일, 다시 시작",간편식,[AI 증강]
출근길 지옥철 세트,세븐일레븐,커피 (테이크 아웃),"껌, 사탕, 이어폰, 멀미약","출근길, 지옥철, 짜증, 피곤, 졸림, 정신 번쩍, 버티자, 긍정",음료/생활,[AI 증강]
혼자 영화관 세트,공통,팝콘 (대),"콜라 (대), 나쵸, 핫도그","혼영, 영화, 팝콘, 즐거움, 자유, 편안함, 눈치 안 봄, 나만의 시간",간식,[AI 증강]
늦은 밤 야근 간식 세트,GS25,삼각김밥,"컵라면, 에너지 드링크, 커피","야근, 늦은 밤, 배고픔, 졸림, 피곤, 힘내자, 동료, 간식",간편식,[AI 증강]
프로 혼밥러 세트,CU,도시락,"김치, 계란후라이, 국","혼밥, 점심, 저녁, 간편, 익숙함, 프로, 맛있음, 가성비",간편식,[AI 증강]
화이트데이 급조 세트,세븐일레븐,사탕,"초콜릿, 젤리, 인형","화이트데이, 급조, 당황, 어색, 센스, 사랑, 행복, 성공적",선물,[AI 증강]
봄 소풍 설렘 세트,공통,김밥,"과일, 음료수, 과자","소풍, 봄, 설렘, 기대, 즐거움, 친구, 햇살, 행복",간편식,[AI 증강]
여름밤 공포 극복 세트,GS25,아이스크림,"탄산음료, 스낵, 손전등","여름밤, 공포, 무서움, 극복, 시원함, 달콤함, 긴장, 스릴",간식,[AI 증강]
추석 귀향길 간식 세트,CU,오징어,"쥐포, 땅콩, 커피","추석, 귀향길, 지루함, 졸림, 간식, 가족, 고향, 행복",간식,[AI 증강]
크리스마스 혼술 세트,세븐일레븐,맥주,"치킨, 피자, 케이크","크리스마스, 혼술, 외로움, 극복, 따뜻함, 위로, 나만의 시간, 괜찮아",주류/안주,[AI 증강]
인싸 챌린지 괴식 세트,공통,불닭볶음면,"초코우유, 아이스크림, 치즈","인싸, 챌린지, 괴식, 매운맛, 단맛, 느끼함, 도전, 후회",라면/디저트,[AI 증강]
출장 복귀 힐링 세트,GS25,수면 안대,"따뜻한 우유, 이어플러그, 마스크팩","출장, 피로, 힐링, 숙면, 편안함, 안락함, 휴식, 충전",생활용품,[AI 증강]
새벽 감성 폭발 세트,CU,캔커피,"담배, 라이터, 믹스커피","새벽, 감성, 우울, 고독, 생각, 밤하늘, 센치, 후회",기호품/음료,[AI 증강]
소나기 피하기 세트,세븐일레븐,우산,"핫초코, 수건, 따뜻한 물","소나기, 비, 젖음, 추움, 따뜻함, 기다림, 잠시 쉬어가기, 안도",생활용품/음료,[AI 증강]
번아웃 극복 세트,공통,영양제,"비타민, 견과류, 에너지바","번아웃, 무기력, 활력, 건강, 충전, 회복, 쉼, 다시 시작",건강,[AI 증강]
뜻밖의 데이트 세트,GS25,와인,"치즈, 크래커, 초콜릿","데이트, 설렘, 로맨틱, 분위기, 성공적, 예감, 행복, 사랑",주류/안주,[AI 증강]
악몽 퇴치 세트,CU,따뜻한 우유,"꿀, 바나나, 라벤더 오일","악몽, 불안, 숙면, 편안함, 안심, 위로, 부드러움, 잠",음료/생활,[AI 증강]
기말고사 D-1 세트,세븐일레븐,밤샘 각성 커피,"에너지바, 초콜릿, 견과류","기말고사, D-1, 불안, 초조, 집중, 밤샘, 합격 기원, 마지막 스퍼트",간식/음료,[AI 증강]
혼자 떠나는 즉흥 여행 세트,공통,선글라스,"지도, 물, 간식","즉흥 여행, 자유, 설렘, 모험, 힐링, 혼자, 즐거움, 새로운 시작",여행,[AI 증강]
이직 성공 자축 세트,GS25,샴페인,"케이크, 고급 안주, 꽃다발","이직, 성공, 자축, 행복, 새로운 시작, 기대, 설렘, 미래",축하,[AI 증강]
고백 성공 기원 세트,CU,페레로 로쉐,"편지, 꽃, 향수","고백, 성공, 설렘, 긴장, 떨림, 사랑, 용기, 두근거림",선물,[AI 증강]
늦더위 짜증 해소 세트,세븐일레븐,아이스크림,"탄산수, 과일, 얼음컵","늦더위, 짜증, 더위, 시원함, 달콤함, 청량함, 상쾌함, 기분 전환",간식/음료,[AI 증강]
나홀로 불금 세트,공통,수입맥주 4캔,"나쵸, 팝콘, 감자칩","불금, 혼술, 자유, 편안함, 넷플릭스, 게임, 힐링, 소소한 행복",주류/안주,[AI 증강]
상사 뒷담화 스트레스 해소 세트 (괴식),GS25,매운 라면,"아이스크림, 탄산음료, 젤리","상사, 스트레스, 뒷담화, 매운맛, 단맛, 해소, 분노, 괴식",간식,[AI 증강]
오싹한 공포 영화 감상 세트,CU,팝콘,"콜라, 담요, 초콜릿","공포 영화, 스릴, 긴장, 오싹, 소름, 무서움, 담요, 안도",간식,[AI 증강]
조별과제 발표 성공 기원 세트,세븐일레븐,에너지 드링크,"목캔디, 물, 초콜릿","조별과제, 발표, 긴장, 떨림, 성공, 자신감, 응원, 격려",음료,[AI 증강]
만우절 장난 세트,공통,가짜 돈,"장난감 뱀, 폭죽, 깜짝 상자","만우절, 장난, 웃음, 즐거움, 속임수, 유쾌, 깜짝, 재미",장난감,[AI 증강]
월요병 극복 세트,GS25,커피,"달콤한 빵, 비타민, 긍정 문구","월요병, 우울, 극복, 힘내, 긍정, 커피, 달콤함, 위로",음료/간식,[AI 증강]
늦잠 잔 날 급한 아침 세트,CU,샌드위치,"우유, 바나나, 에너지바","늦잠, 아침, 급함, 배고픔, 간편, 든든, 에너지, 서두름",간편식,[AI 증강]
고독사 방지 세트,세븐일레븐,반려견 간식,"반려묘 간식, 식물 키우기 세트, 인공지능 스피커","고독사, 외로움, 친구, 위로, 생명, 소통, 힐링, 안부",생활,[AI 증강]
좀비 영화 대비 세트,공통,라면,"통조림, 생수, 손전등","좀비, 공포, 생존, 대비, 비상식량, 안전, 긴장, 무서움",생존,[AI 증강]
헤어진 다음 날 술친구 세트,GS25,소주,"과자, 라면, 위로 멘트","헤어짐, 슬픔, 술, 위로, 친구, 공감, 눈물, 새로운 시작",주류,[AI 증강]
자취생 만찬,GS25,햇반,"참치캔, 김치, 계란","혼밥, 귀찮음, 간단한 식사, 가성비, 든든함, 자취 요리, 냉장고 파먹기",간편 식사,[AI 증강]
영화관 스낵,공통,팝콘 (카라멜),"콜라, 나쵸","영화 감상, 주말, 데이트, 심야 영화, 달콤함, 짭짤함, 영화관 분위기",간식,[AI 증강]
매운맛 폭발,세븐일레븐,마라탕면 (컵),"매운 닭꼬치, 쿨피스","스트레스 해소, 화나는 날, 매운맛 중독, 얼얼함, 이열치열, 땀 흘리기",라면/분식 조합,[AI 증강]
비 오는 날의 낭만,CU,해물파전,"막걸리, 김치전","비, 센치, 낭만, 집콕, 빈대떡, 술, 따뜻함, 평온",술안주/야식,[AI 증강]
시험기간 버프,공통,에너지 드링크,"초콜릿, 견과류","시험, 밤샘, 졸림, 집중력, 각성, 벼락치기, 불안, 초조",간식,[AI 증강]
캠핑 파이어,GS25,소시지,"마시멜로우, 불멍 장작, 맥주","캠핑, 불, 밤, 친구, 추억, 자연, 휴식, 바베큐",술안주/야식,[AI 증강]
월급날의 사치,세븐일레븐,수입 맥주 (4캔),"육포, 치즈","월급, 행복, 보상, 스트레스 해소, 자유, 풍요, 여유, 퇴근",술안주/야식,[AI 증강]
눈 오는 날의 따뜻함,CU,호빵 (단팥),"따뜻한 우유, 핫팩","눈, 겨울, 따뜻, 포근, 행복, 감성, 추억, 힐링",간식,[AI 증강]
혼술의 정석,공통,혼술 안주 (모듬),"소주, 영화 티켓","혼자, 위로, 스트레스, 퇴근, 밤, 고독, 우울, 힐링",술안주/야식,[AI 증강]
야근 극복 세트,GS25,커피 (아메리카노),"핫식스, 초콜릿바","야근, 피곤, 졸림, 에너지 충전, 당 충전, 버티기, 회사, 절망",간식,[AI 증강]
등산 필수템,세븐일레븐,생수,"에너지바, 견과류","등산, 건강, 운동, 자연, 상쾌, 성취감, 갈증 해소, 정상",간편 식사,[AI 증강]
달콤한 휴식,CU,아이스크림 (콘),"젤리, 사탕","휴식, 달콤, 행복, 더위, 기분 전환, 스트레스 해소, 아이",간식,[AI 증강]
간단한 아침,공통,삼각김밥,"바나나, 우유","아침, 출근, 간편, 바쁨, 든든, 시간 절약, 학생",간편 식사,[AI 증강]
게임 폐인 세트,GS25,감자칩,"탄산 음료, 핫바","게임, 밤샘, 심심, 중독, 스트레스 해소, 친구, 온라인, 승리",간식,[AI 증강]
퇴근 후 맥주,세븐일레븐,맥주 (캔),"쥐포, 땅콩","퇴근, 휴식, 스트레스 해소, 시원함, 혼술, 자유, 편안함, 위로",술안주/야식,[AI 증강]
고급진 혼술,CU,와인 (미니),"치즈, 올리브","혼술, 분위기, 고급, 특별, 힐링, 우아, 밤, 위로",술안주/야식,[AI 증강]
여행 필수품,공통,컵라면,"햇반, 김치","여행, 캠핑, 이동, 간편, 든든, 추억, 즐거움, 설렘",간편 식사,[AI 증강]
괴식 도전,GS25,바닐라 아이스크림,"불닭 소스, 김","도전, 괴식, 궁금증, 호기심, 유튜브, 매운맛, 단짠, 실험",간식,[AI 증강]
숙취 해소,세븐일레븐,헛개차,"해장 라면, 숙취해소제","숙취, 괴로움, 해장, 갈증, 속쓰림, 회복, 아침, 후회",간편 식사,[AI 증강]
피크닉 간식,CU,샌드위치,"과일 주스, 요거트","피크닉, 봄, 소풍, 햇살, 여유, 상큼, 행복, 자연",간편 식사,[AI 증강]
나만의 디저트,공통,미니 케이크,"커피, 초콜릿","기념일, 축하, 달콤, 행복, 나를 위한 선물, 특별, 휴식",간식,[AI 증강]
든든한 점심,GS25,도시락,"국, 김치","점심, 회사, 학교, 든든, 에너지, 오후, 활력, 만족",간편 식사,[AI 증강]
힐링 타임,세븐일레븐,따뜻한 차 (유자차),"쿠키, 책","휴식, 힐링, 여유, 따뜻, 평온, 독서, 위로, 생각",간식,[AI 증강]
출출한 밤,CU,라면 (봉지),"계란, 김치","야식, 밤, 배고픔, 간단, 만족, 행복, 잠들기 전, 유혹",라면/분식 조합,[AI 증강]
달콤한 간식,공통,초코파이,"우유, 커피","간식, 달콤, 행복, 추억, 어린 시절, 가족, 사랑",간식,[AI 증강]
화끈한 술안주,GS25,닭발,"맥주, 계란찜","술, 안주, 매운맛, 스트레스, 친구, 밤, 화끈, 즐거움",술안주/야식,[AI 증강]
운동 후 단백질 충전,세븐일레븐,닭가슴살,"프로틴 음료, 바나나","운동, 건강, 단백질, 근육, 회복, 활력, 상쾌, 자기관리",간편 식사,[AI 증강]
든든한 간식,CU,핫도그,"케찹, 머스타드","간식, 든든, 간단, 출출, 행복, 길거리 음식, 추억, 맛있음",간식,[AI 증강]
비오는 날 파전 괴식,공통,컵라면,"파전, 김치","비오는 날, 괴식, 파전, 국물, 느끼함, 새로운 도전",라면/분식 조합,[AI 증강]
"늦은 밤, 간단 야식",GS25,토스트,"우유, 커피","늦은 밤, 야식, 토스트, 간단, 잠 안 올 때, 출출함",간편 식사,[AI 증강]
매콤달콤 환상 조합,세븐일레븐,떡볶이,"쿨피스, 김말이","매콤달콤, 떡볶이, 스트레스 해소, 친구와 함께, 분식",라면/분식 조합,[AI 증강]
상큼한 하루 시작,CU,과일,"요거트, 시리얼","상큼, 아침, 과일, 건강, 활기찬, 다이어트",간편 식사,[AI 증강]
입안 가득 행복,공통,아이스크림,"과자, 초콜릿","달콤, 아이스크림, 행복, 더운 날, 간식, 어린 시절 추억",간식,[AI 증강]
따뜻한 위로,GS25,핫초코,"마시멜로우, 쿠키","따뜻, 위로, 힘든 날, 핫초코, 달콤, 겨울",간식,[AI 증강]
"여름밤, 시원한 맥주",세븐일레븐,맥주,"나초, 살사 소스","여름밤, 맥주, 시원, 친구와 함께, 야식, 더위 피하기",술안주/야식,[AI 증강]
여행의 동반자,CU,김밥,"라면, 물","여행, 김밥, 간편, 든든, 이동 중, 추억",간편 식사,[AI 증강]
혼자만의 파티,공통,미니 케이크,"샴페인, 촛불","혼자, 파티, 특별한 날, 축하, 샴페인, 행복",간식,[AI 증강]
매운맛 도전,GS25,불닭볶음면,"우유, 삼각김밥","매운맛, 도전, 스트레스 해소, 불닭볶음면, 땀",라면/분식 조합,[AI 증강]
심플한 아침 식사,세븐일레븐,샌드위치,"주스, 요거트","아침, 샌드위치, 간단, 건강, 바쁜 아침",간편 식사,[AI 증강]
달콤한 에너지 충전,CU,초콜릿,"에너지 드링크, 견과류","에너지, 초콜릿, 집중력, 시험 기간, 당 충전",간식,[AI 증강]
친구와 함께,공통,치킨,"맥주, 콜라","친구, 치킨, 파티, 즐거움, 웃음, 행복",술안주/야식,[AI 증강]
집에서 즐기는 영화관,GS25,팝콘,"탄산 음료, 나초","영화, 팝콘, 집, 주말, 여유, 행복",간식,[AI 증강]
비 오는 날의 추억,세븐일레븐,컵라면,"김치, 삼각김밥","비, 컵라면, 따뜻, 추억, 낭만, 센치함",라면/분식 조합,[AI 증강]
여행의 맛,CU,도시락,"물, 과자","여행, 도시락, 간편, 든든, 맛있는, 즐거운",간편 식사,[AI 증강]
혼자만의 시간,공통,맥주,"육포, 견과류","혼자, 맥주, 휴식, 여유, 조용한, 행복",술안주/야식,[AI 증강]
공복에 붕어빵,GS25,붕어빵,우유,"간식, 붕어빵, 달콤, 공복, 기분전환",간식,[AI 증강]
스트레스 해소엔 매운 족발,세븐일레븐,매운 족발,"쿨피스, 맥주","스트레스, 매운맛, 족발, 야식, 친구",술안주/야식,[AI 증강]
든든한 아침식사,CU,샌드위치,커피,"아침, 든든, 간편, 샌드위치, 커피",간편 식사,[AI 증강]
월급날 Flex 세트,공통,수입맥주 (4캔),"프리미엄 육포, 나쵸/살사 소스","월급날, 자축, 스트레스 해소, 넷플릭스, 혼술, 퇴근 후 행복, 소소한 사치",술안주/야식,[AI 증강]
비 오는 날 감성 세트,GS25,오뎅국물 (컵),"김치전, 막걸리","비 오는 날, 파전, 막걸리, 센치, 빗소리, 따뜻함, 낭만, 빈대떡",술안주/야식,[AI 증강]
야근 극복 세트,세븐일레븐,에너지 드링크,"매운 닭꼬치, 아메리카노","야근, 졸음, 피로, 정신 번쩍, 매운맛, 카페인, 밤샘, 업무 스트레스",간식/음료,[AI 증강]
시험 기간 벼락치기 세트,CU,커피 (대용량),"초콜릿, 견과류","시험, 벼락치기, 밤샘, 집중력, 당 충전, 불안, 초조, 카페인",간식/음료,[AI 증강]
캠핑 파이어 세트,공통,마시멜로우,"숯불구이 맛 스낵, 맥주","캠핑, 불멍, 달콤함, 바베큐, 밤, 별, 친구, 추억",간식/술안주,[AI 증강]
혼밥 만찬 세트,GS25,도시락 (고기 반찬),"계란찜 (전자레인지용), 김치","혼밥, 자취생, 든든함, 가성비, 영양, 귀찮음, 간단, 한 끼",식사,[AI 증강]
숙취 해소 끝판왕 세트,세븐일레븐,헛개차,"해장 라면, 아이스크림","숙취, 괴로움, 아침, 속 쓰림, 시원함, 달콤함, 매운맛, 울렁거림",음료/라면,[AI 증강]
미세먼지 청정 세트,CU,생수 (2L),"배 도라지 차, 비타민","미세먼지, 목 아픔, 건강, 상쾌함, 촉촉함, 기관지, 답답함, 깨끗함",건강/음료,[AI 증강]
영화관 부럽지 않은 세트,공통,팝콘,"콜라, 오징어","영화, 주말, 넷플릭스, 집, 편안함, 심심함, 간식, 뒹굴뒹굴",간식,[AI 증강]
입 터짐 방지 세트,GS25,견과류 바,"탄산수, 삶은 계란","다이어트, 식단 관리, 배고픔, 건강, 가벼움, 죄책감 Down, 운동",건강/간식,[AI 증강]
극강의 단짠 세트,세븐일레븐,허니버터칩,"솔티드 캐러멜 아이스크림, 아메리카노","단짠, 스트레스, 중독, 행복, 힐링, 꿀조합, 멈출 수 없어",간식,[AI 증강]
매운맛 챌린지 세트,CU,마라탕면 (컵),"쿨피스, 삼각김밥 (참치마요)","매운맛, 도전, 땀, 스트레스 해소, 얼얼함, 쾌감, 쿨다운, 중독",라면/분식,[AI 증강]
피크닉 감성 충전 세트,공통,유부초밥,"탄산음료, 과일","소풍, 나들이, 봄, 햇살, 돗자리, 설렘, 사진, 추억",식사,[AI 증강]
나만의 작은 사치 세트,GS25,조각 케이크,"프리미엄 커피, 마카롱","기분 전환, 달콤함, 힐링, 스트레스 해소, 혼자만의 시간, 위로, 행복",디저트,[AI 증강]
입맛 없을 때 꿀떡 세트,세븐일레븐,새콤달콤 비빔면,"만두, 계란","입맛 없음, 더위, 새콤, 매콤, 간단, 점심, 활력, 잃어버린 입맛",라면/분식,[AI 증강]
등산 후 꿀맛 세트,CU,막걸리,"두부김치, 파전","등산, 하산, 갈증 해소, 시원함, 꿀맛, 휴식, 성취감, 자연",술안주,[AI 증강]
겨울밤 따뜻한 세트,공통,호빵,"따뜻한 우유, 귤","겨울, 추위, 따뜻함, 포근함, 달콤함, 행복, 집, 저녁",간식,[AI 증강]
출출한 새벽 괴식 세트,GS25,불닭볶음면,"바나나 우유, 삼각김밥 (전주비빔)","야식, 괴식, 매운맛, 달콤함, 탄수화물, 잠 안 옴, 호기심, 새벽",라면/분식,[AI 증강]
영화관 데이트 세트,세븐일레븐,팝콘 (카라멜),"콜라, 나쵸","영화, 데이트, 달콤함, 짭짤함, 즐거움, 두근거림, 설렘",간식,[AI 증강]
여름밤 힐링 세트,CU,수박,"맥주, 모기향","여름, 더위, 시원함, 휴식, 밤, 평화로움, 별, 힐링",과일/술안주,[AI 증강]
간단 아침 식사 세트,공통,토스트,"우유, 바나나","아침, 바쁨, 간단함, 든든함, 건강, 활기, 상쾌함",식사,[AI 증강]
점심시간 활력 충전 세트,GS25,닭가슴살 도시락,"아메리카노, 샐러드","점심, 건강, 다이어트, 활력, 가벼움, 상쾌함, 오후 업무",식사,[AI 증강]
혼술 안주 끝판왕 세트,세븐일레븐,닭꼬치,"맥주, 쥐포","혼술, 안주, 스트레스 해소, 야식, 편안함, 혼자만의 시간",술안주,[AI 증강]
공부하다 지칠 때 당 충전 세트,CU,초콜릿,"에너지 드링크, 사탕","공부, 시험, 스트레스, 당 충전, 집중력, 피로, 졸음",간식,[AI 증강]
우울한 날 위로 세트,공통,아이스크림,"초코 과자, 따뜻한 우유","우울, 슬픔, 위로, 달콤함, 행복, 힐링, 기분 전환",간식,[AI 증강]
늦은 밤 출출함 달래기 세트,GS25,컵라면,"김밥, 삼각김밥","야식, 출출함, 간단함, 든든함, 만족, 잠 안 옴",라면/분식,[AI 증강]
매콤달콤 떡볶이 세트,세븐일레븐,떡볶이 (즉석),"튀김, 쿨피스","매콤, 달콤, 분식, 친구, 수다, 즐거움, 스트레스 해소",분식,[AI 증강]
비오는 날 파전 막걸리 세트,CU,부침개,"막걸리, 김치","비, 센치, 낭만, 따뜻함, 편안함, 집, 빗소리",술안주,[AI 증강]
여행 떠나기 전 설렘 세트,공통,여행용 간식,"물, 충전기","여행, 설렘, 기대, 즐거움, 준비, 설레임",간식/필수품,[AI 증강]
눈 오는 날 포근함 세트,GS25,핫초코,"군고구마, 귤","눈, 겨울, 따뜻함, 달콤함, 포근함, 행복, 집",간식,[AI 증강]
심심할 때 시간 순삭 세트,세븐일레븐,과자,"탄산음료, 게임 카드","심심함, 무료함, 즐거움, 시간 때우기, 게임, 간식",간식/취미,[AI 증강]
기분 전환 젤리 세트,CU,젤리,"탄산수, 비타민","기분 전환, 상큼함, 달콤함, 즐거움, 활력, 스트레스 해소",간식,[AI 증강]
따뜻한 위로가 필요할 때 세트,공통,컵스프,"빵, 따뜻한 차","힘듦, 위로, 따뜻함, 포근함, 안정, 휴식, 힐링",간식,[AI 증강]
칼로리 폭탄 스트레스 해소 세트,GS25,초코케이크,"탄산음료, 감자칩","스트레스, 폭식, 달콤함, 짭짤함, 자극, 쾌감, 죄책감, 후회",간식,[AI 증강]
운동 후 단백질 충전 세트,세븐일레븐,닭가슴살,"프로틴 음료, 견과류","운동, 건강, 단백질, 근육, 활력, 상쾌함, 다이어트",건강,[AI 증강]
매운맛 덕후 도전 세트,CU,핵불닭볶음면,"우유, 아이스크림","매운맛, 도전, 고통, 쾌감, 중독, 스트레스 해소, 땀",라면,[AI 증강]
혼자 떠나는 즉흥 여행 세트,공통,김밥,"생수, 선글라스","여행, 자유, 설렘, 즉흥, 혼자, 새로운 경험, 즐거움",식사/필수품,[AI 증강]
따뜻한 아랫목 귤 세트,GS25,귤,"고구마, 식혜","겨울, 따뜻함, 아늑함, 달콤함, 휴식, 평화로움, 옛날 생각",간식,[AI 증강]
잠 안 올 때 양 세기 세트,세븐일레븐,따뜻한 우유,"꿀, 라벤더 티","불면, 잠, 안정, 휴식, 편안함, 긴장 완화, 졸림",음료,[AI 증강]
더위 싹 날리는 세트,CU,아이스 아메리카노,"수박바, 얼음","더위, 갈증, 시원함, 상쾌함, 에너지, 활력",음료/간식,[AI 증강]
입안 가득 행복 세트,공통,마카롱,"커피, 초콜릿","달콤함, 행복, 기분 전환, 즐거움, 힐링, 스트레스 해소",간식,[AI 증강]
혼자만의 힐링타임 세트,GS25,와인 (미니),"치즈, 크래커","혼술, 힐링, 휴식, 분위기, 퇴근 후, 조용한 밤, 영화 감상",술안주,[AI 증강]
매콤한 유혹 세트,세븐일레븐,닭강정 (매운맛),"쿨피스, 단무지","매운맛, 스트레스 해소, 야식, 맥주 안주, 입가심",술안주/야식,[AI 증강]
달콤한 휴식 세트,CU,모찌롤,"아메리카노, 견과류","달콤함, 휴식, 오후의 여유, 커피와 함께, 디저트 타임",디저트,[AI 증강]
